ISSCAP CODE,Species,Category,Source,Family,SpcID,StudyLocality,Region,StartYear,EndYear,Gear,GScore,GRank,Sex,K,KRank,M,F,Z,Tzero,ExpRate,ERRank,LenYear1,LenYear2,LenYear3,LenYear4,Yield,FecundityMin,FecundityMax,Fecundity,FcRank,MeanSizeMin,MeanSizeMax,MeanSize,LengthRangeMin,LengthRangeMax,Lr,Linf,LinfRank,MeanSizeByLinf,MeanSizeByLm,LrByLinf,LrRank,LmMin,LmMax,Lm,LmBL,LmRank,SpawningSeason,NumSpawningMonths,NSMRank,Dist,DistRank,MTL,MTLRank,BLD,BLDRank,CPI,CPIRank,PriceRank,RankTotal
37,Caranx carangus,LD,"IJF 1992 39 (3,4) Reuben et al",CARANGIDAE,,"Tamilnadu,Pon",SE,1981,1988,,10.3,4,C,0.65,3,0.95,3.56,4.51,0,0.7893569,5,0,0,0,0,0,0,0,372344,6,0,0,0,0,0,60,444,4,0,0,0.1351351351,6,0,0,0,0,0,"November,April",2,6,96.3,6,3.5,3,2.8,1,81.5,1,3,48
34,Tachysurus serratus,LD,"Bull.40 CMFRI, 1987",ARIIDAE,,Cochin,SW,1981,1981,"TRAWL,PS, GILLNET",14.4,5,C,0.25,1,0.21,2.63,2.83,0,0.9293287,6,0,0,0,0,0,0,0,100,1,0,0,0,0,0,200,1100,1,0,0,0.1818181818,6,0,0,0,0,0,,0,0,100,6,3.44,4,4.2,2,662.8,6,4,42
37,Caranx carangus,LD,"JMBA 1994,36(1&2) Kasim",CARANGIDAE,,Tuticorin,SE,1981,1983,Trawlnet,10.3,4,C,0.7689,3,1.18,5.36,6.54,0,0.8195719,6,288,394,449,479,0,0,0,372344,6,0,0,0,0,0,95.8,498,4,0,0,0.1923694779,6,0,0,0,0,0,,2,6,96.3,6,3.5,3,2.8,1,81.5,1,3,49
37,Caranx carangus,LD,"JMBA 1994,36(1&2) Kasim",CARANGIDAE,,Tuticorin,SE,1981,1983,Gillnet,10.3,4,C,0.7689,3,1.18,2.74,3.92,0,0.6989796,4,288,394,449,479,0,0,0,372344,6,0,0,0,0,0,95.8,498,4,0,0,0.1923694779,6,0,0,0,0,0,,2,6,96.3,6,3.5,3,2.8,1,81.5,1,3,47
38,Carcharhinus limbatus,LD,Trophic  Modelling of Arabian Sea of Karnataka,CARCHARHINIDAE,0048,Mangalore,SW,2000,2001,Gillnet,10.5,4,C,0.92,4,1.19,3.62,4.81,0,0.7525988,5,,,,,203,1,10,10,1,,,829,,,560,1140,1,0.7280701754,1.406779661,0.4912280702,3,,,580,0.5087719298,6,,0,0,83.4,6,4.45,2,5,2,662.8,6,6,46
38,Carcharhinus sorrah,LD,"Kasim, AFSIB, 1996",CARCHARHINIDAE,0052,Tuticorin,SE,1990,1993,"Gillnet, Hooks&line",10.5,4,F,0.33,2,0.54,4.36,4.9,0,0.8897959,6,0,0,0,0,0,1,10,10,1,0,0,0,0,0,0,1658,1,0,0,0,0,0,0,0,0,0,,0,0,41.94,3,4.15,2,4.545454545,2,81.5,1,6,28
38,Carcharhinus sorrah,LD,"Kasim, AFSIB, 1996",CARCHARHINIDAE,0052,Tuticorin,SE,1990,1993,"Gillnet, Hooks&line",10.5,4,M,0.33,2,0.63,2.37,3,0,0.79,5,0,0,0,0,0,1,10,10,1,0,0,0,0,0,0,1658,1,0,0,0,0,0,0,0,0,0,,0,0,41.94,3,4.15,2,4.545454545,2,81.5,1,6,27
38,Rhizoprionodon acutus,LD,JMBAI 1991 33: 213-228 Kasim,CARCHARHINIDAE,0101,Veraval,NW,1981,1984,Gillnet,7.2,2,F,0.65,3,1.01,1.7,2.71,0,0.6273063,4,502,758,897,973,0,3,5,5,1,0,0,0,0,0,0,1065,1,,,0,0,0,0,0,,0,,0,0,17.63,1,4.45,2,5.62,3,298.6,4,6,27
38,Rhizoprionodon acutus,LD,Trophic  Modelling of Arabian Sea of Karnataka,CARCHARHINIDAE,0101,Manglore Malpe,SW,1999,2001,Gillnet,7.2,2,C,0.81,3,1.15,1.01,2.16,0,0.4675926,2,,,,,100,3,5,5,1,,,592,,,275,960,2,0.617,1.177,0.2864583333,5,,,503,0.5239583333,6,,0,0,17.63,1,4.45,2,5.62,3,662.8,6,6,39
38,Rhizoprionodon acutus,LD,JMBAI 1991 33: 213-228 Kasim,CARCHARHINIDAE,0101,Veraval,NW,1981,1984,Gillnet,7.2,2,M,0.61,3,1.12,3.63,4.78,0,0.7594142,5,592,774,907,977,0,3,5,5,1,0,0,0,0,0,0,1054,1,,,0,0,0,0,0,,0,,0,0,17.63,1,4.45,2,5.62,3,298.6,4,6,28
